time,Value
9.46,692.821472167969
9.48,714.534423828125
9.5,736.697875976563
9.5199995,751.542663574219
9.54,752.605834960938
9.559999,736.08935546875
9.58,704.12451171875
9.599999,668.554260253906
9.62,635.3847656
9.639999,600.837524414063
9.66,559.739135742188
9.679999,504.058837890625
9.7,425.986694335938
9.719999,322.539520263672
9.74,195.757858276367
9.76,53.1649856567383
9.78,-94.63134003
9.8,-235.5796051
9.82,-362.4483032
9.84,-468.010498
9.86,-548.0764771
9.88,-602.253479
9.9,-632.8473511
9.92,-643.7388916
9.94,-636.9758911
9.96,-612.7203979
9.98,-572.1437378
10,-518.428833
10.0199995,-453.2344055
10.04,-380.7444153
10.059999,-309.4763184
10.08,-248.9698181
10.099999,-205.9571991
10.12,-183.5669403
10.139999,-180.5667267
10.16,-192.64534
10.179999,-216.3824768
10.2,-247.0943451
10.219999,-280.5480347
10.24,-319.5419312
10.26,-371.5417175
10.28,-442.3283691
10.3,-533.7368164
10.32,-642.3729858
10.34,-761.4108887
10.36,-885.6653442
10.38,-1010.571838
10.4,-1128.62146
10.42,-1232.178711
10.44,-1317.667725
10.46,-1388.419922
10.48,-1451.092163
10.5,-1509.061035
10.5199995,-1564.167236
10.54,-1612.844849
10.559999,-1645.471436
10.58,-1652.096313
10.599999,-1628.75647
10.62,-1580.208252
10.639999,-1520.242432
10.66,-1465.250122
10.679999,-1424.549683
10.7,-1403.998169
10.719999,-1407.826782
10.74,-1437.162109
10.76,-1490.163452
10.78,-1561.93103
10.8,-1642.333008
10.82,-1718.84082
10.84,-1784.153687
10.86,-1838.272461
10.88,-1886.395264
10.9,-1936.61792
10.92,-1993.36792
10.94,-2051.066895
10.96,-2098.851074
10.98,-2120.979736
11,-2105.023193
11.0199995,-2049.12085
11.04,-1959.892212
11.059999,-1851.102051
11.08,-1736.084839
11.099999,-1625.495728
11.12,-1529.45752
11.139999,-1454.548706
11.16,-1404.398926
11.179999,-1382.627686
11.2,-1383.858032
11.219999,-1394.083618
11.24,-1403.884399
11.259999,-1411.650391
11.28,-1415.748657
11.3,-1416.656128
11.32,-1417.727295
11.34,-1421.378906
11.36,-1423.921143
11.38,-1411.747192
11.4,-1364.260742
11.42,-1274.896973
11.44,-1150.217407
11.46,-1000.512817
11.48,-835.9584351
11.5,-661.6184692
11.5199995,-489.3554382
